Memory Length,4000,
Trigger Level,0.000E+00,
Source,CH2,
Probe,1X,
Vertical Units,V,
Vertical Scale,5.000E-03,
Vertical Position,0.000E+00,
Horizontal Units,s,
Horizontal Scale,1.000E-03,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
Sampling Period,4.000E-06,
Firmware,V1.13.001,
Time, ,
Mode,Fast,
Waveform Data,
10,
10,
33,
33,
33,
32,
32,
33,
33,
32,
32,
32,
32,
32,
31,
31,
31,
31,
32,
31,
31,
31,
30,
29,
29,
28,
28,
28,
28,
28,
28,
27,
26,
26,
25,
25,
25,
24,
23,
24,
23,
23,
22,
21,
22,
20,
20,
20,
19,
19,
19,
18,
17,
17,
16,
16,
15,
14,
14,
13,
13,
12,
12,
12,
11,
10,
10,
10,
8,
8,
7,
7,
6,
5,
5,
4,
4,
4,
3,
3,
2,
0,
1,
0,
0,
-1,
0,
-2,
-2,
-2,
-4,
-4,
-4,
-4,
-5,
-6,
-6,
-8,
-7,
-8,
-8,
-8,
-9,
-10,
-10,
-10,
-10,
-12,
-12,
-12,
-12,
-13,
-14,
-13,
-14,
-14,
-15,
-16,
-15,
-16,
-16,
-16,
-17,
-17,
-16,
-18,
-18,
-18,
-19,
-19,
-19,
-20,
-19,
-20,
-20,
-20,
-20,
-20,
-20,
-21,
-21,
-20,
-21,
-20,
-20,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-22,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-21,
-20,
-20,
-20,
-20,
-20,
-20,
-20,
-20,
-20,
-20,
-20,
-19,
-18,
-19,
-19,
-18,
-19,
-18,
-18,
-18,
-18,
-17,
-17,
-16,
-17,
-16,
-16,
-16,
-16,
-15,
-15,
-16,
-15,
-15,
-14,
-13,
-14,
-13,
-14,
-13,
-12,
-13,
-12,
-12,
-12,
-11,
-11,
-10,
-11,
-9,
-9,
-10,
-9,
-8,
-8,
-8,
-8,
-8,
-7,
-7,
-7,
-6,
-6,
-7,
-5,
-4,
-5,
-4,
-4,
-4,
-4,
-4,
-4,
-3,
-4,
-3,
-2,
-3,
-2,
-1,
-1,
-1,
-2,
-1,
-1,
-1,
-1,
-1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
1,
1,
0,
1,
1,
2,
1,
1,
1,
2,
2,
2,
1,
1,
3,
2,
2,
2,
2,
3,
3,
2,
2,
3,
1,
2,
3,
2,
2,
2,
2,
3,
2,
3,
2,
2,
2,
2,
2,
2,
2,
2,
2,
1,
1,
2,
2,
1,
1,
2,
1,
1,
1,
1,
1,
1,
0,
1,
1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
-1,
0,
0,
-1,
-1,
0,
-1,
-1,
-2,
-2,
0,
-1,
-1,
-2,
-1,
-2,
-1,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-3,
-2,
-3,
-3,
-3,
-3,
-2,
-2,
-3,
-3,
-3,
-3,
-2,
-2,
-3,
-3,
-2,
-2,
-3,
-3,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-2,
-1,
-2,
-2,
-1,
-1,
-2,
-1,
-1,
-1,
-1,
0,
-1,
0,
0,
0,
0,
0,
-1,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
2,
1,
2,
3,
2,
2,
3,
3,
3,
3,
4,
4,
3,
4,
4,
4,
4,
4,
5,
5,
5,
5,
6,
6,
6,
6,
6,
6,
7,
7,
8,
7,
7,
8,
8,
8,
9,
8,
9,
10,
9,
9,
9,
10,
10,
9,
10,
11,
10,
11,
11,
11,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
13,
13,
13,
13,
13,
14,
14,
14,
13,
14,
14,
14,
13,
14,
14,
14,
14,
14,
15,
14,
14,
15,
14,
14,
15,
14,
14,
14,
14,
14,
14,
14,
14,
14,
14,
13,
15,
14,
14,
14,
13,
14,
14,
13,
14,
13,
13,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
12,
11,
12,
11,
11,
11,
11,
10,
10,
10,
9,
9,
9,
8,
9,
8,
8,
8,
8,
8,
8,
7,
7,
6,
6,
6,
7,
6,
5,
5,
4,
4,
4,
4,
4,
4,
4,
3,
3,
3,
2,
2,
2,
3,
1,
1,
1,
0,
2,
0,
0,
0,
0,
0,
0,
