,,,-00.000022180000,   6.20000,
,,,-00.000022160000,   5.80000,
,,,-00.000022140000,   5.60000,
,,,-00.000022120000,   5.60000,
,,,-00.000022100000,   5.00000,
,,,-00.000022080000,   4.80000,
,,,-00.000022060000,   4.40000,
,,,-00.000022040000,   4.00000,
,,,-00.000022020000,   3.60000,
,,,-00.000022000000,   3.20000,
,,,-00.000021980000,   2.60000,
,,,-00.000021960000,   2.60000,
,,,-00.000021940000,   1.80000,
,,,-00.000021920000,   1.60000,
,,,-00.000021900000,   1.00000,
,,,-00.000021880000,   0.60000,
,,,-00.000021860000,   0.40000,
,,,-00.000021840000,  -0.20000,
,,,-00.000021820000,  -0.60000,
,,,-00.000021800000,  -1.20000,
,,,-00.000021780000,  -1.60000,
,,,-00.000021760000,  -2.00000,
,,,-00.000021740000,  -2.40000,
,,,-00.000021720000,  -3.00000,
,,,-00.000021700000,  -3.20000,
,,,-00.000021680000,  -3.80000,
,,,-00.000021660000,  -4.00000,
,,,-00.000021640000,  -4.40000,
,,,-00.000021620000,  -5.00000,
,,,-00.000021600000,  -5.20000,
,,,-00.000021580000,  -5.60000,
,,,-00.000021560000,  -6.00000,
,,,-00.000021540000,  -6.40000,
,,,-00.000021520000,  -6.80000,
,,,-00.000021500000,  -7.00000,
,,,-00.000021480000,  -7.20000,
,,,-00.000021460000,  -7.40000,
,,,-00.000021440000,  -7.80000,
,,,-00.000021420000,  -8.00000,
,,,-00.000021400000,  -8.20000,
,,,-00.000021380000,  -8.60000,
,,,-00.000021360000,  -8.60000,
,,,-00.000021340000,  -8.80000,
,,,-00.000021320000,  -9.20000,
,,,-00.000021300000,  -9.20000,
,,,-00.000021280000,  -9.40000,
,,,-00.000021260000,  -9.80000,
,,,-00.000021240000,  -9.60000,
,,,-00.000021220000,  -9.60000,
,,,-00.000021200000,  -9.60000,
,,,-00.000021180000,  -9.80000,
,,,-00.000021160000, -10.00000,
,,,-00.000021140000, -10.00000,
,,,-00.000021120000,  -9.60000,
,,,-00.000021100000,  -9.60000,
,,,-00.000021080000,  -9.60000,
,,,-00.000021060000,  -9.80000,
,,,-00.000021040000,  -9.60000,
,,,-00.000021020000,  -9.40000,
,,,-00.000021000000,  -9.20000,
,,,-00.000020980000,  -9.40000,
,,,-00.000020960000,  -8.80000,
,,,-00.000020940000,  -8.80000,
,,,-00.000020920000,  -8.80000,
,,,-00.000020900000,  -8.60000,
,,,-00.000020880000,  -8.20000,
,,,-00.000020860000,  -8.00000,
,,,-00.000020840000,  -7.60000,
,,,-00.000020820000,  -7.40000,
,,,-00.000020800000,  -7.00000,
,,,-00.000020780000,  -6.80000,
,,,-00.000020760000,  -6.60000,
,,,-00.000020740000,  -6.20000,
,,,-00.000020720000,  -5.80000,
,,,-00.000020700000,  -5.60000,
,,,-00.000020680000,  -5.20000,
,,,-00.000020660000,  -5.00000,
,,,-00.000020640000,  -4.40000,
,,,-00.000020620000,  -4.00000,
,,,-00.000020600000,  -3.80000,
,,,-00.000020580000,  -3.20000,
,,,-00.000020560000,  -2.80000,
,,,-00.000020540000,  -2.40000,
,,,-00.000020520000,  -2.00000,
,,,-00.000020500000,  -1.60000,
,,,-00.000020480000,  -0.80000,
,,,-00.000020460000,  -0.60000,
,,,-00.000020440000,   0.00000,
,,,-00.000020420000,   0.20000,
,,,-00.000020400000,   0.80000,
,,,-00.000020380000,   1.20000,
,,,-00.000020360000,   1.60000,
,,,-00.000020340000,   1.80000,
,,,-00.000020320000,   2.40000,
,,,-00.000020300000,   3.00000,
,,,-00.000020280000,   3.20000,
,,,-00.000020260000,   3.60000,
,,,-00.000020240000,   4.00000,
,,,-00.000020220000,   4.20000,
,,,-00.000020200000,   4.60000,
,,,-00.000020180000,   5.00000,
,,,-00.000020160000,   5.20000,
,,,-00.000020140000,   5.40000,
,,,-00.000020120000,   5.60000,
,,,-00.000020100000,   6.00000,
,,,-00.000020080000,   6.20000,
,,,-00.000020060000,   6.60000,
,,,-00.000020040000,   6.80000,
,,,-00.000020020000,   7.00000,
,,,-00.000020000000,   7.20000,
,,,-00.000019980000,   7.40000,
,,,-00.000019960000,   7.40000,
,,,-00.000019940000,   7.80000,
,,,-00.000019920000,   7.80000,
,,,-00.000019900000,   8.00000,
,,,-00.000019880000,   8.20000,
